0.000597|0.000706|0.000662|0.000683|0.000568|0.000619|0.000621|0.000680|0.001247|0.001734|0.001427|0.001403|0.001769|0.001456|0.001946|0.001839|0.001675|0.001366|0.000942|0.001086|0.001717|0.002515|0.006270|0.001400
0.000798|0.000693|0.000608|0.000609|0.000585|0.000538|0.000601|0.000511|0.001228|0.001569|0.001844|0.001538|0.002067|0.002284|0.002629|0.002067|0.001947|0.001985|0.001286|0.001059|0.001553|0.002056|0.006007|0.000861
0.000235|0.000032|0.000032|0.000032|0.000032|0.000035|0.000035|0.000035|0.000035|0.000035|0.000035|0.000035|0.000035|0.000036|0.000042|0.000045|0.000053|0.000055|0.000059|0.000061|0.000078|0.000103|0.000289|0.000378
0.000610|0.000705|0.000620|0.000631|0.000593|0.000636|0.000598|0.000499|0.000792|0.001123|0.001003|0.001084|0.001588|0.001828|0.002061|0.001815|0.001524|0.001257|0.000925|0.000805|0.001381|0.002697|0.005704|0.001229
0.000786|0.000627|0.000499|0.000431|0.000422|0.000518|0.000551|0.000469|0.001035|0.001286|0.001276|0.001196|0.001662|0.001828|0.002224|0.002035|0.001890|0.001240|0.000926|0.000803|0.001396|0.003063|0.006277|0.001253
0.000685|0.000476|0.000398|0.000418|0.000447|0.000494|0.000559|0.000458|0.000790|0.001101|0.001109|0.001279|0.001496|0.001663|0.001848|0.001879|0.001948|0.001481|0.000938|0.000891|0.001382|0.002178|0.007262|0.001518
0.000849|0.000776|0.000704|0.000653|0.000564|0.000589|0.000580|0.000617|0.000984|0.001294|0.001452|0.001353|0.001871|0.001869|0.002239|0.002309|0.002074|0.001833|0.000835|0.000902|0.001719|0.003299|0.007591|0.001998
0.001094|0.000851|0.000743|0.000822|0.000657|0.000686|0.000705|0.000833|0.001350|0.001651|0.001368|0.001586|0.001994|0.001841|0.002261|0.002647|0.001366|0.001808|0.001042|0.001454|0.002151|0.003944|0.006742|0.001375
0.000946|0.000739|0.000726|0.000645|0.000614|0.000596|0.000642|0.000555|0.000942|0.001282|0.001234|0.001258|0.001882|0.001874|0.001888|0.001691|0.001883|0.002209|0.001095|0.000914|0.001491|0.002244|0.007692|0.001318
0.000982|0.000693|0.000745|0.000621|0.000621|0.000594|0.000550|0.000504|0.000832|0.001202|0.000990|0.001036|0.001507|0.001525|0.001706|0.001613|0.001663|0.001160|0.000876|0.001023|0.001262|0.002512|0.005913|0.001527
0.000787|0.000689|0.000626|0.000621|0.000566|0.000545|0.000562|0.000473|0.000835|0.001114|0.000943|0.001111|0.001567|0.001752|0.001975|0.001765|0.001635|0.001165|0.000961|0.000975|0.001732|0.002641|0.006373|0.001372
0.000925|0.000636|0.000538|0.000453|0.000432|0.000490|0.000530|0.000463|0.000809|0.001261|0.001072|0.001145|0.001465|0.001794|0.001748|0.001723|0.001497|0.001321|0.000894|0.001237|0.002073|0.002942|0.006769|0.001399
0.000891|0.000660|0.000687|0.000563|0.000560|0.000531|0.000534|0.000491|0.000969|0.001352|0.001164|0.001265|0.001423|0.001688|0.001920|0.001972|0.001831|0.001461|0.000971|0.001597|0.002961|0.002666|0.007449|0.001447
